Symbol,Date,open,high,low,close,volume
^VN30,20200702,786.82,788.82,781.52,785.59,75138460
^VN30,20200701,770.53,787.25,770.53,786.82,94773223
^VN30,20200630,781.42,783.95,765.72,770.53,94225901
^VN30,20200629,789.18,789.33,769.3,774.81,127824476
^VN30,20200626,796.51,803.47,793.25,795.53,73350939
^VN30,20200625,793.91,798.07,791.62,796.51,81748951
^VN30,20200624,809.05,813.17,799.56,801.62,78294110
^VN30,20200623,809.97,812.05,804.16,807.61,124568410
^VN30,20200622,811.26,812.87,805.29,809.97,74971465
^VN30,20200619,799.46,808.28,799.46,808.28,116452443
^VN30,20200618,792.36,799.89,788.89,797.08,76216630
^VN30,20200617,801.17,801.22,793.4,796.43,82976640
^VN30,20200616,793.16,801.19,789.2,798.82,112197434
^VN30,20200615,807.76,813.56,778.71,778.71,366144725
^VN30,20200612,806.87,807.76,783.92,807.76,192722630
^VN30,20200611,839.11,842.74,806.87,806.87,208884910
^VN30,20200610,836.8,841.95,827.6,839.11,169060826
^VN30,20200609,838.52,843.54,836.23,837.02,171280532
^VN30,20200608,826.47,845.4,826.47,838.52,174354725
^VN30,20200605,823.77,826.47,818.42,826.47,159432619
^VN30,20200604,824.29,831.33,823.77,823.77,151784073
^VN30,20200603,821.85,824.29,818.5,824.29,96376940
^VN30,20200602,823.69,826.96,818.36,818.7,171449173
^VN30,20200601,810.75,821.47,810.75,821.47,192008310
^VN30,20200529,804.06,808.7,801.48,806.23,81915120
^VN30,20200528,804.2,810.31,800.16,804.06,130053247
^VN30,20200527,818.94,821.35,801.36,801.36,130066290
^VN30,20200526,809.64,815.85,807.84,815.01,106561220
^VN30,20200525,803.8,808.95,799.42,807.25,101096493
^VN30,20200522,808.84,811.76,803.14,803.14,104222793
^VN30,20200521,804.86,815.55,802.71,815.55,144053030
^VN30,20200520,799.31,803.32,794.12,803.32,103958460
^VN30,20200519,801.59,807.94,796.59,799.31,148957080
^VN30,20200518,774.24,787.27,770.71,787.27,89464750
^VN30,20200515,780.73,785.11,771.46,773.95,88573880
^VN30,20200514,783.69,785,773.72,780.73,133168275
^VN30,20200513,782.45,787.85,760.45,783.69,130261112
^VN30,20200512,775.7,783.77,766.84,782.45,111888980
^VN30,20200511,760.15,777.13,760.15,777.13,127388024
^VN30,20200508,739.98,772.97,739.98,760.15,154732603
^VN30,20200507,725.94,739.98,725.94,739.98,88938030
^VN30,20200506,713.84,725.94,709.77,725.94,124509782
^VN30,20200505,709.35,714.59,707.51,711.01,67391188
^VN30,20200504,709.49,715.59,707.31,709.35,78733204
